model,layer,probe,dataset_name,data_config,task,acc,class_accs,class_names
DINOv3,layer_0,linear,RAVEN,center_single,Color,0.2445,"[0.0, 0.0, 0.0, 1.0]","['Constant', 'Progression', 'Arithmetic', 'Distribute_Three']"
DINOv3,layer_0,linear,RAVEN,center_single,Type,0.336,"[1.0, 0.0, 0.0]","['Constant', 'Progression', 'Distribute_Three']"
DINOv3,layer_0,linear,RAVEN,center_single,Size,0.243,"[0.0, 0.0, 1.0, 0.0]","['Constant', 'Progression', 'Arithmetic', 'Distribute_Three']"
DINOv3,layer_0,linear,RAVEN,in_center_single_out_center_single,Size_1,0.2665,"[0.0, 1.0, 0.0, 0.0]","['Constant', 'Progression', 'Arithmetic', 'Distribute_Three']"
DINOv3,layer_0,linear,RAVEN,in_center_single_out_center_single,Type_1,0.343,"[1.0, 0.0, 0.0]","['Constant', 'Progression', 'Distribute_Three']"
DINOv3,layer_0,linear,RAVEN,in_center_single_out_center_single,Type_0,0.3505,"[0.0, 0.0, 1.0]","['Constant', 'Progression', 'Distribute_Three']"
DINOv3,layer_0,linear,RAVEN,in_center_single_out_center_single,Size_0,0.392,"[0.0, 0.0, 1.0]","['Constant', 'Progression', 'Distribute_Three']"
DINOv3,layer_0,linear,RAVEN,in_center_single_out_center_single,Color_1,0.2435,"[0.0, 0.0, 1.0, 0.0]","['Constant', 'Progression', 'Arithmetic', 'Distribute_Three']"
DINOv3,layer_0,linear,RAVEN,in_center_single_out_center_single,Color_0,1.0,[1.0],['Constant']
DINOv3,layer_0,MLP,RAVEN,center_single,Color,0.2425,"[0.0, 0.0, 1.0, 0.0]","['Constant', 'Progression', 'Arithmetic', 'Distribute_Three']"
DINOv3,layer_0,MLP,RAVEN,center_single,Type,0.3355,"[0.0, 0.0, 1.0]","['Constant', 'Progression', 'Distribute_Three']"
DINOv3,layer_0,MLP,RAVEN,center_single,Size,0.253,"[1.0, 0.0, 0.0, 0.0]","['Constant', 'Progression', 'Arithmetic', 'Distribute_Three']"
DINOv3,layer_0,MLP,RAVEN,in_center_single_out_center_single,Size_1,0.2665,"[0.0, 1.0, 0.0, 0.0]","['Constant', 'Progression', 'Arithmetic', 'Distribute_Three']"
DINOv3,layer_0,MLP,RAVEN,in_center_single_out_center_single,Type_1,0.343,"[1.0, 0.0, 0.0]","['Constant', 'Progression', 'Distribute_Three']"
DINOv3,layer_0,MLP,RAVEN,in_center_single_out_center_single,Type_0,0.3505,"[0.0, 0.0, 1.0]","['Constant', 'Progression', 'Distribute_Three']"
DINOv3,layer_0,MLP,RAVEN,in_center_single_out_center_single,Size_0,0.392,"[0.0, 0.0, 1.0]","['Constant', 'Progression', 'Distribute_Three']"
DINOv3,layer_0,MLP,RAVEN,in_center_single_out_center_single,Color_1,0.2435,"[0.0, 0.0, 1.0, 0.0]","['Constant', 'Progression', 'Arithmetic', 'Distribute_Three']"
DINOv3,layer_0,MLP,RAVEN,in_center_single_out_center_single,Color_0,1.0,[1.0],['Constant']
DINOv3,layer_10,linear,RAVEN,center_single,Color,0.675,"[0.8418, 0.3613, 0.7938, 0.6748]","['Constant', 'Progression', 'Arithmetic', 'Distribute_Three']"
DINOv3,layer_10,linear,RAVEN,center_single,Type,0.833,"[0.9182, 0.7002, 0.8778]","['Constant', 'Progression', 'Distribute_Three']"
DINOv3,layer_10,linear,RAVEN,center_single,Size,0.5145,"[0.2747, 0.5996, 0.6481, 0.5391]","['Constant', 'Progression', 'Arithmetic', 'Distribute_Three']"
DINOv3,layer_10,linear,RAVEN,in_center_single_out_center_single,Size_1,0.4505,"[0.5746, 0.5666, 0.5459, 0.1308]","['Constant', 'Progression', 'Arithmetic', 'Distribute_Three']"
DINOv3,layer_10,linear,RAVEN,in_center_single_out_center_single,Type_1,0.614,"[0.5321, 0.5266, 0.7869]","['Constant', 'Progression', 'Distribute_Three']"
DINOv3,layer_10,linear,RAVEN,in_center_single_out_center_single,Type_0,0.795,"[0.826, 0.7504, 0.8088]","['Constant', 'Progression', 'Distribute_Three']"
DINOv3,layer_10,linear,RAVEN,in_center_single_out_center_single,Size_0,0.5025,"[0.6436, 0.1161, 0.5676]","['Constant', 'Progression', 'Distribute_Three']"
DINOv3,layer_10,linear,RAVEN,in_center_single_out_center_single,Color_1,0.4925,"[0.6232, 0.5067, 0.4333, 0.4029]","['Constant', 'Progression', 'Arithmetic', 'Distribute_Three']"
DINOv3,layer_10,linear,RAVEN,in_center_single_out_center_single,Color_0,1.0,[1.0],['Constant']
DINOv3,layer_10,MLP,RAVEN,center_single,Color,0.708,"[0.9691, 0.5672, 0.6371, 0.6217]","['Constant', 'Progression', 'Arithmetic', 'Distribute_Three']"
DINOv3,layer_10,MLP,RAVEN,center_single,Type,0.8935,"[0.9405, 0.8113, 0.927]","['Constant', 'Progression', 'Distribute_Three']"
DINOv3,layer_10,MLP,RAVEN,center_single,Size,0.524,"[0.7826, 0.2222, 0.5885, 0.5144]","['Constant', 'Progression', 'Arithmetic', 'Distribute_Three']"
DINOv3,layer_10,MLP,RAVEN,in_center_single_out_center_single,Size_1,0.3985,"[0.7505, 0.4578, 0.3777, 0.025]","['Constant', 'Progression', 'Arithmetic', 'Distribute_Three']"
DINOv3,layer_10,MLP,RAVEN,in_center_single_out_center_single,Type_1,0.611,"[0.7449, 0.7793, 0.3029]","['Constant', 'Progression', 'Distribute_Three']"
DINOv3,layer_10,MLP,RAVEN,in_center_single_out_center_single,Type_0,0.796,"[0.7273, 0.7368, 0.9144]","['Constant', 'Progression', 'Distribute_Three']"
DINOv3,layer_10,MLP,RAVEN,in_center_single_out_center_single,Size_0,0.468,"[0.4307, 0.0, 0.7577]","['Constant', 'Progression', 'Distribute_Three']"
DINOv3,layer_10,MLP,RAVEN,in_center_single_out_center_single,Color_1,0.492,"[0.3747, 0.6762, 0.6222, 0.2843]","['Constant', 'Progression', 'Arithmetic', 'Distribute_Three']"
DINOv3,layer_10,MLP,RAVEN,in_center_single_out_center_single,Color_0,1.0,[1.0],['Constant']
DINOv3,layer_8,linear,RAVEN,center_single,Color,0.616,"[0.7582, 0.3025, 0.6165, 0.7607]","['Constant', 'Progression', 'Arithmetic', 'Distribute_Three']"
DINOv3,layer_8,linear,RAVEN,center_single,Type,0.682,"[0.8065, 0.7275, 0.5127]","['Constant', 'Progression', 'Distribute_Three']"
DINOv3,layer_8,linear,RAVEN,center_single,Size,0.465,"[0.5375, 0.4023, 0.7325, 0.1893]","['Constant', 'Progression', 'Arithmetic', 'Distribute_Three']"
DINOv3,layer_8,linear,RAVEN,in_center_single_out_center_single,Size_1,0.4105,"[0.5521, 0.1463, 0.5786, 0.4]","['Constant', 'Progression', 'Arithmetic', 'Distribute_Three']"
DINOv3,layer_8,linear,RAVEN,in_center_single_out_center_single,Type_1,0.505,"[0.4125, 0.7245, 0.382]","['Constant', 'Progression', 'Distribute_Three']"
DINOv3,layer_8,linear,RAVEN,in_center_single_out_center_single,Type_0,0.632,"[0.6364, 0.7474, 0.5193]","['Constant', 'Progression', 'Distribute_Three']"
DINOv3,layer_8,linear,RAVEN,in_center_single_out_center_single,Size_0,0.4205,"[0.3275, 0.5213, 0.4605]","['Constant', 'Progression', 'Distribute_Three']"
DINOv3,layer_8,linear,RAVEN,in_center_single_out_center_single,Color_1,0.458,"[0.5391, 0.6457, 0.384, 0.2474]","['Constant', 'Progression', 'Arithmetic', 'Distribute_Three']"
DINOv3,layer_8,linear,RAVEN,in_center_single_out_center_single,Color_0,1.0,[1.0],['Constant']
DINOv3,layer_8,MLP,RAVEN,center_single,Color,0.6715,"[0.9836, 0.6324, 0.4928, 0.5358]","['Constant', 'Progression', 'Arithmetic', 'Distribute_Three']"
DINOv3,layer_8,MLP,RAVEN,center_single,Type,0.7695,"[0.881, 0.6804, 0.7452]","['Constant', 'Progression', 'Distribute_Three']"
DINOv3,layer_8,MLP,RAVEN,center_single,Size,0.453,"[0.5988, 0.1858, 0.6728, 0.3683]","['Constant', 'Progression', 'Arithmetic', 'Distribute_Three']"
DINOv3,layer_8,MLP,RAVEN,in_center_single_out_center_single,Size_1,0.352,"[0.8221, 0.1069, 0.4432, 0.0808]","['Constant', 'Progression', 'Arithmetic', 'Distribute_Three']"
DINOv3,layer_8,MLP,RAVEN,in_center_single_out_center_single,Type_1,0.504,"[0.4679, 0.758, 0.2877]","['Constant', 'Progression', 'Distribute_Three']"
DINOv3,layer_8,MLP,RAVEN,in_center_single_out_center_single,Type_0,0.584,"[0.7053, 0.9561, 0.1227]","['Constant', 'Progression', 'Distribute_Three']"
DINOv3,layer_8,MLP,RAVEN,in_center_single_out_center_single,Size_0,0.4385,"[0.4534, 0.0, 0.6594]","['Constant', 'Progression', 'Distribute_Three']"
DINOv3,layer_8,MLP,RAVEN,in_center_single_out_center_single,Color_1,0.484,"[0.3908, 0.6419, 0.6057, 0.2883]","['Constant', 'Progression', 'Arithmetic', 'Distribute_Three']"
DINOv3,layer_8,MLP,RAVEN,in_center_single_out_center_single,Color_0,1.0,[1.0],['Constant']
DINOv3,layer_6,linear,RAVEN,center_single,Color,0.575,"[0.7255, 0.4265, 0.6371, 0.4888]","['Constant', 'Progression', 'Arithmetic', 'Distribute_Three']"
DINOv3,layer_6,linear,RAVEN,center_single,Type,0.536,"[0.6101, 0.5708, 0.4277]","['Constant', 'Progression', 'Distribute_Three']"
DINOv3,layer_6,linear,RAVEN,center_single,Size,0.444,"[0.4249, 0.5709, 0.5597, 0.2119]","['Constant', 'Progression', 'Arithmetic', 'Distribute_Three']"
DINOv3,layer_6,linear,RAVEN,in_center_single_out_center_single,Size_1,0.4015,"[0.3538, 0.5572, 0.4956, 0.2038]","['Constant', 'Progression', 'Arithmetic', 'Distribute_Three']"
DINOv3,layer_6,linear,RAVEN,in_center_single_out_center_single,Type_1,0.4335,"[0.5918, 0.4079, 0.2938]","['Constant', 'Progression', 'Distribute_Three']"
DINOv3,layer_6,linear,RAVEN,in_center_single_out_center_single,Type_0,0.514,"[0.7179, 0.5371, 0.3067]","['Constant', 'Progression', 'Distribute_Three']"
DINOv3,layer_6,linear,RAVEN,in_center_single_out_center_single,Size_0,0.419,"[0.8741, 0.0, 0.1837]","['Constant', 'Progression', 'Distribute_Three']"
DINOv3,layer_6,linear,RAVEN,in_center_single_out_center_single,Color_1,0.4235,"[0.497, 0.5352, 0.3388, 0.3129]","['Constant', 'Progression', 'Arithmetic', 'Distribute_Three']"
DINOv3,layer_6,linear,RAVEN,in_center_single_out_center_single,Color_0,1.0,[1.0],['Constant']
DINOv3,layer_6,MLP,RAVEN,center_single,Color,0.668,"[0.8873, 0.5357, 0.5402, 0.6769]","['Constant', 'Progression', 'Arithmetic', 'Distribute_Three']"
DINOv3,layer_6,MLP,RAVEN,center_single,Type,0.651,"[0.7723, 0.6743, 0.5067]","['Constant', 'Progression', 'Distribute_Three']"
DINOv3,layer_6,MLP,RAVEN,center_single,Size,0.4815,"[0.6225, 0.3678, 0.5988, 0.3395]","['Constant', 'Progression', 'Arithmetic', 'Distribute_Three']"
DINOv3,layer_6,MLP,RAVEN,in_center_single_out_center_single,Size_1,0.345,"[0.816, 0.3227, 0.2314, 0.025]","['Constant', 'Progression', 'Arithmetic', 'Distribute_Three']"
DINOv3,layer_6,MLP,RAVEN,in_center_single_out_center_single,Type_1,0.4525,"[0.5364, 0.6712, 0.1461]","['Constant', 'Progression', 'Distribute_Three']"
DINOv3,layer_6,MLP,RAVEN,in_center_single_out_center_single,Type_0,0.578,"[0.8088, 0.3949, 0.5407]","['Constant', 'Progression', 'Distribute_Three']"
DINOv3,layer_6,MLP,RAVEN,in_center_single_out_center_single,Size_0,0.464,"[0.4924, 0.0, 0.6849]","['Constant', 'Progression', 'Distribute_Three']"
DINOv3,layer_6,MLP,RAVEN,in_center_single_out_center_single,Color_1,0.471,"[0.4429, 0.461, 0.5996, 0.3824]","['Constant', 'Progression', 'Arithmetic', 'Distribute_Three']"
DINOv3,layer_6,MLP,RAVEN,in_center_single_out_center_single,Color_0,1.0,[1.0],['Constant']
DINOv3,layer_4,linear,RAVEN,center_single,Color,0.4635,"[0.5109, 0.437, 0.534, 0.3661]","['Constant', 'Progression', 'Arithmetic', 'Distribute_Three']"
DINOv3,layer_4,linear,RAVEN,center_single,Type,0.4,"[0.567, 0.5951, 0.0417]","['Constant', 'Progression', 'Distribute_Three']"
DINOv3,layer_4,linear,RAVEN,center_single,Size,0.388,"[0.2708, 0.5364, 0.5288, 0.2099]","['Constant', 'Progression', 'Arithmetic', 'Distribute_Three']"
DINOv3,layer_4,linear,RAVEN,in_center_single_out_center_single,Size_1,0.3085,"[0.0368, 0.2458, 0.1943, 0.7288]","['Constant', 'Progression', 'Arithmetic', 'Distribute_Three']"
DINOv3,layer_4,linear,RAVEN,in_center_single_out_center_single,Type_1,0.38,"[0.5991, 0.3942, 0.137]","['Constant', 'Progression', 'Distribute_Three']"
DINOv3,layer_4,linear,RAVEN,in_center_single_out_center_single,Type_0,0.4205,"[0.3433, 0.3056, 0.5991]","['Constant', 'Progression', 'Distribute_Three']"
DINOv3,layer_4,linear,RAVEN,in_center_single_out_center_single,Size_0,0.4075,"[0.8652, 0.0, 0.1633]","['Constant', 'Progression', 'Distribute_Three']"
DINOv3,layer_4,linear,RAVEN,in_center_single_out_center_single,Color_1,0.3725,"[0.4168, 0.4362, 0.4559, 0.1759]","['Constant', 'Progression', 'Arithmetic', 'Distribute_Three']"
DINOv3,layer_4,linear,RAVEN,in_center_single_out_center_single,Color_0,1.0,[1.0],['Constant']
DINOv3,layer_4,MLP,RAVEN,center_single,Color,0.532,"[0.7727, 0.5714, 0.3691, 0.3845]","['Constant', 'Progression', 'Arithmetic', 'Distribute_Three']"
DINOv3,layer_4,MLP,RAVEN,center_single,Type,0.4245,"[0.3229, 0.3181, 0.6304]","['Constant', 'Progression', 'Distribute_Three']"
DINOv3,layer_4,MLP,RAVEN,center_single,Size,0.3855,"[0.1225, 0.249, 0.4979, 0.6934]","['Constant', 'Progression', 'Arithmetic', 'Distribute_Three']"
DINOv3,layer_4,MLP,RAVEN,in_center_single_out_center_single,Size_1,0.3025,"[0.3661, 0.0019, 0.4083, 0.4577]","['Constant', 'Progression', 'Arithmetic', 'Distribute_Three']"
DINOv3,layer_4,MLP,RAVEN,in_center_single_out_center_single,Type_1,0.39,"[0.4388, 0.6073, 0.1218]","['Constant', 'Progression', 'Distribute_Three']"
DINOv3,layer_4,MLP,RAVEN,in_center_single_out_center_single,Type_0,0.401,"[0.0, 0.4826, 0.689]","['Constant', 'Progression', 'Distribute_Three']"
DINOv3,layer_4,MLP,RAVEN,in_center_single_out_center_single,Size_0,0.3995,"[0.272, 0.0, 0.7436]","['Constant', 'Progression', 'Distribute_Three']"
DINOv3,layer_4,MLP,RAVEN,in_center_single_out_center_single,Color_1,0.3835,"[0.5451, 0.5238, 0.3799, 0.0716]","['Constant', 'Progression', 'Arithmetic', 'Distribute_Three']"
DINOv3,layer_4,MLP,RAVEN,in_center_single_out_center_single,Color_0,1.0,[1.0],['Constant']
DINOv3,layer_12,linear,RAVEN,center_single,Color,0.752,"[0.9291, 0.521, 0.7711, 0.7587]","['Constant', 'Progression', 'Arithmetic', 'Distribute_Three']"
DINOv3,layer_12,linear,RAVEN,center_single,Type,0.9105,"[0.9226, 0.8874, 0.921]","['Constant', 'Progression', 'Distribute_Three']"
DINOv3,layer_12,linear,RAVEN,center_single,Size,0.605,"[0.6206, 0.3621, 0.8745, 0.5802]","['Constant', 'Progression', 'Arithmetic', 'Distribute_Three']"
DINOv3,layer_12,linear,RAVEN,in_center_single_out_center_single,Size_1,0.478,"[0.5767, 0.4278, 0.4432, 0.4673]","['Constant', 'Progression', 'Arithmetic', 'Distribute_Three']"
DINOv3,layer_12,linear,RAVEN,in_center_single_out_center_single,Type_1,0.709,"[0.8455, 0.6834, 0.5921]","['Constant', 'Progression', 'Distribute_Three']"
DINOv3,layer_12,linear,RAVEN,in_center_single_out_center_single,Type_0,0.8935,"[0.9655, 0.9576, 0.7675]","['Constant', 'Progression', 'Distribute_Three']"
DINOv3,layer_12,linear,RAVEN,in_center_single_out_center_single,Size_0,0.5345,"[0.5327, 0.0664, 0.7883]","['Constant', 'Progression', 'Distribute_Three']"
DINOv3,layer_12,linear,RAVEN,in_center_single_out_center_single,Color_1,0.487,"[0.7094, 0.6133, 0.3142, 0.2965]","['Constant', 'Progression', 'Arithmetic', 'Distribute_Three']"
DINOv3,layer_12,linear,RAVEN,in_center_single_out_center_single,Color_0,1.0,[1.0],['Constant']
DINOv3,layer_12,MLP,RAVEN,center_single,Color,0.793,"[0.8564, 0.7815, 0.8247, 0.7014]","['Constant', 'Progression', 'Arithmetic', 'Distribute_Three']"
DINOv3,layer_12,MLP,RAVEN,center_single,Type,0.9575,"[0.9777, 0.9817, 0.9136]","['Constant', 'Progression', 'Distribute_Three']"
DINOv3,layer_12,MLP,RAVEN,center_single,Size,0.67,"[0.7352, 0.6092, 0.7325, 0.6049]","['Constant', 'Progression', 'Arithmetic', 'Distribute_Three']"
DINOv3,layer_12,MLP,RAVEN,in_center_single_out_center_single,Size_1,0.414,"[0.773, 0.4578, 0.1266, 0.2846]","['Constant', 'Progression', 'Arithmetic', 'Distribute_Three']"
DINOv3,layer_12,MLP,RAVEN,in_center_single_out_center_single,Type_1,0.7385,"[0.8426, 0.6393, 0.7291]","['Constant', 'Progression', 'Distribute_Three']"
DINOv3,layer_12,MLP,RAVEN,in_center_single_out_center_single,Type_0,0.9315,"[0.9969, 0.9455, 0.8588]","['Constant', 'Progression', 'Distribute_Three']"
DINOv3,layer_12,MLP,RAVEN,in_center_single_out_center_single,Size_0,0.633,"[0.597, 0.2417, 0.8801]","['Constant', 'Progression', 'Distribute_Three']"
DINOv3,layer_12,MLP,RAVEN,in_center_single_out_center_single,Color_1,0.4965,"[0.491, 0.5676, 0.6119, 0.3108]","['Constant', 'Progression', 'Arithmetic', 'Distribute_Three']"
DINOv3,layer_12,MLP,RAVEN,in_center_single_out_center_single,Color_0,1.0,[1.0],['Constant']
DINOv3,layer_2,linear,RAVEN,center_single,Color,0.3335,"[0.1545, 0.3235, 0.5216, 0.3579]","['Constant', 'Progression', 'Arithmetic', 'Distribute_Three']"
DINOv3,layer_2,linear,RAVEN,center_single,Type,0.375,"[0.7188, 0.3607, 0.0447]","['Constant', 'Progression', 'Distribute_Three']"
DINOv3,layer_2,linear,RAVEN,center_single,Size,0.378,"[0.413, 0.3678, 0.677, 0.0535]","['Constant', 'Progression', 'Arithmetic', 'Distribute_Three']"
DINOv3,layer_2,linear,RAVEN,in_center_single_out_center_single,Size_1,0.291,"[0.002, 0.2795, 0.1965, 0.6577]","['Constant', 'Progression', 'Arithmetic', 'Distribute_Three']"
DINOv3,layer_2,linear,RAVEN,in_center_single_out_center_single,Type_1,0.346,"[0.9096, 0.1035, 0.0]","['Constant', 'Progression', 'Distribute_Three']"
DINOv3,layer_2,linear,RAVEN,in_center_single_out_center_single,Type_0,0.407,"[0.1254, 0.2799, 0.7832]","['Constant', 'Progression', 'Distribute_Three']"
DINOv3,layer_2,linear,RAVEN,in_center_single_out_center_single,Size_0,0.4015,"[0.2708, 0.0, 0.75]","['Constant', 'Progression', 'Distribute_Three']"
DINOv3,layer_2,linear,RAVEN,in_center_single_out_center_single,Color_1,0.312,"[0.002, 0.2381, 0.5893, 0.4315]","['Constant', 'Progression', 'Arithmetic', 'Distribute_Three']"
DINOv3,layer_2,linear,RAVEN,in_center_single_out_center_single,Color_0,1.0,[1.0],['Constant']
DINOv3,layer_2,MLP,RAVEN,center_single,Color,0.388,"[0.4582, 0.5378, 0.4062, 0.1452]","['Constant', 'Progression', 'Arithmetic', 'Distribute_Three']"
DINOv3,layer_2,MLP,RAVEN,center_single,Type,0.401,"[0.2455, 0.7017, 0.2623]","['Constant', 'Progression', 'Distribute_Three']"
DINOv3,layer_2,MLP,RAVEN,center_single,Size,0.4205,"[0.1087, 0.4023, 0.7325, 0.4527]","['Constant', 'Progression', 'Arithmetic', 'Distribute_Three']"
DINOv3,layer_2,MLP,RAVEN,in_center_single_out_center_single,Size_1,0.296,"[0.0, 0.1295, 0.2052, 0.825]","['Constant', 'Progression', 'Arithmetic', 'Distribute_Three']"
DINOv3,layer_2,MLP,RAVEN,in_center_single_out_center_single,Type_1,0.339,"[0.1195, 0.9072, 0.0]","['Constant', 'Progression', 'Distribute_Three']"
DINOv3,layer_2,MLP,RAVEN,in_center_single_out_center_single,Type_0,0.434,"[0.0, 0.5613, 0.709]","['Constant', 'Progression', 'Distribute_Three']"
DINOv3,layer_2,MLP,RAVEN,in_center_single_out_center_single,Size_0,0.4095,"[0.335, 0.2417, 0.5753]","['Constant', 'Progression', 'Distribute_Three']"
DINOv3,layer_2,MLP,RAVEN,in_center_single_out_center_single,Color_1,0.334,"[0.3888, 0.5524, 0.3778, 0.0]","['Constant', 'Progression', 'Arithmetic', 'Distribute_Three']"
DINOv3,layer_2,MLP,RAVEN,in_center_single_out_center_single,Color_0,1.0,[1.0],['Constant']
